City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
63,Kruisfontein,6,ZA,7200,56,-34.0033,24.7314,62.89,12.75
64,Waddān,82,LY,7200,32,29.1614,16.139,75.49,8.75
65,Jamestown,90,US,-18000,87,42.097,-79.2353,36.52,8.01
66,Dhidhdhoo,69,MV,18000,70,6.8833,73.1,82.02,18.37
67,Hobart,90,AU,39600,88,-42.8794,147.3294,52.02,5.75
68,Tuktoyaktuk,90,CA,-25200,78,69.4541,-133.0374,8.6,17.27
69,Yellowknife,75,CA,-25200,84,62.456,-114.3525,-1.68,8.05
70,Chimbote,90,PE,-18000,74,-9.0853,-78.5783,68.61,9.71
71,Mar del Plata,0,AR,-10800,85,-38.0023,-57.5575,62.62,11.01
72,Marsabit,12,KE,10800,37,2.3284,37.9899,77.43,9.71
73,Saint George,1,US,-25200,49,37.1041,-113.5841,61.36,0
74,Bāgeshwar,0,IN,19800,54,29.85,79.7667,54.45,3.62
75,Barkly West,11,ZA,7200,14,-28.5354,24.5215,78.08,14.65
76,Inuvik,90,CA,-25200,88,68.3499,-133.7218,8.64,8.05
77,Kapaa,1,US,-36000,97,22.0752,-159.319,71.92,5.75
78,Airai,100,TL,32400,94,-8.9266,125.4092,63.19,2.15
79,Banda Aceh,96,ID,25200,79,5.5577,95.3222,79.84,9.69
80,Abu Dhabi,0,AE,14400,67,24.4667,54.3667,78.96,4.61
81,Palmer,75,US,-18000,55,42.1584,-72.3287,45.48,5.01
82,Puerto Guzmán,54,CO,-18000,63,0.9703,-76.5858,85.59,3.27
83,Padang,99,ID,25200,80,-0.9492,100.3543,77.05,3.24
84,Mount Gambier,100,AU,37800,81,-37.8333,140.7667,46,4.5
85,San Patricio,1,US,-21600,44,28.017,-97.5169,61.21,7.58
86,Nikolskoye,100,RU,10800,85,59.7035,30.7861,39.02,7.92
87,Necochea,0,AR,-10800,48,-38.5473,-58.7368,65.03,11.07
88,Emba,43,KZ,18000,90,48.8264,58.1442,22.01,10.18
89,Vila Velha,40,BR,-10800,67,-20.3297,-40.2925,89.55,11.01
90,East London,20,ZA,7200,72,-33.0153,27.9116,67.14,11.5
91,Ribeira Grande,40,PT,-3600,77,38.5167,-28.7,66.6,18.41
92,Horqueta,0,PY,-10800,39,-23.3428,-57.0597,84.16,7.14
93,Brownwood,90,US,-21600,34,31.7093,-98.9912,54.21,12.66
94,Hofn,75,IS,0,93,64.2539,-15.2082,32.02,3.44
